"link","backlink"
"https://moz.com/blog/using-social-media-to-get-ahead-of-search-demand","http://www.johnmurch.com/"
"https://www.google.com","http://www.johnmurch.com/"
"https://tim.blog/2009/01/27/office-chair-aeron-vs-mirra-vs-liberty/comment-page-2/","http://www.johnmurch.com/"
"http://akamatsu.org/aka/2007/page/13/","http://www.johnmurch.com/2007/07/01/iphone-javascript-and-spec-benchmark/"
"https://scrollinondubs.com/2008/05/02/markamp-phoenix/","http://www.johnmurch.com/"
"https://www.johnfdoherty.com/quit-blogging/","http://www.johnmurch.com/"
"http://barcamp.org/w/page/403350/iPhoneDevCampAttendees","http://www.johnmurch.com/"
"https://github.com/johnmurch","http://www.johnmurch.com/"
"https://www.producthunt.com/@johnmurch","http://www.johnmurch.com/"
